Key,Remarks,level,vip,id,jubaoPerRewards,jubaoPerCost,lianqiPerRewards,lianqiPerCost,penglaiPerRewards,penglaiPerCost,kunlunPerRewards,kunlunPerCost,wanxianPerRewards,wanxianPerCost,fengshenPerRewards,fengshenPerCost,qiankunPerRewards,qiankunPerCost,xinmo1PerRewards,xinmo1PerCost,xinmo2PerRewards,xinmo2PerCost,xinmo3PerRewards,xinmo3PerCost,xinmo4PerRewards,xinmo4PerCost,xinmo5PerRewards,xinmo5PerCost,xinmo6PerRewards,xinmo6PerCost
27,,27,0~1,27,1:100000,60,803002:50,180,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:10,24,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
28,,28,0~1,28,1:100000,60,803002:50,180,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:12,28,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
29,,29,0~1,29,1:100000,60,803002:50,180,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:14,33,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
30,,30,0~1,30,1:100000,60,803002:50,180,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:16,38,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
31,,31,0~1,31,1:100000,60,803002:50,180,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:18,43,14:100,60,14:100,60,14:0,,14:0,,14:0,,14:0,
32,,32,0~1,32,1:100000,60,803002:50,180,702170:12;702183:9,176,702153:12;702176:9,176,1:50000,30,1:50000,30,801002:20,48,14:100,60,14:100,60,14:100,60,14:0,,14:0,,14:0,
33,,33,0~1,33,1:100000,60,803002:84,302,702170:12;702183:9,176,702153:12;702176:9,176,1:50000,30,1:50000,30,801002:22,52,14:100,60,14:100,60,14:100,60,14:0,,14:0,,14:0,
34,,34,0~1,34,1:100000,60,803002:84,302,702170:12;702183:9,176,702153:12;702176:9,176,1:50000,30,1:50000,30,801002:24,57,14:100,60,14:100,60,14:100,60,14:0,,14:0,,14:0,
35,,35,0~1,35,1:100000,60,803002:84,302,702170:12;702183:9,176,702153:12;702176:9,176,1:50000,30,1:50000,30,801002:30,72,14:100,60,14:100,60,14:100,60,14:0,,14:0,,14:0,
36,,36,0~1,36,1:100000,60,803002:84,302,702170:12;702183:9,176,702153:12;702176:9,176,1:240000;6:1160,840,1:50000,30,801002:32,76,14:100,60,14:100,60,14:100,60,14:0,,14:0,,14:0,
37,,37,0~1,37,1:100000,60,803002:84,302,702170:12;702183:9,176,702153:12;702176:9,176,1:240000;6:1160,840,1:50000,30,801002:36,86,14:100,60,14:100,60,14:100,60,14:0,,14:0,,14:0,
38,,38,0~1,38,1:100000,60,803002:84,302,702172:9;702185:12,190,702173:9;702177:12,190,1:240000;6:1160,840,1:50000,30,801002:40,96,14:100,60,14:100,60,14:100,60,14:0,,14:0,,14:0,
39,,39,0~1,39,1:100000,60,803002:84,302,702172:9;702185:12,190,702173:9;702177:12,190,1:240000;6:1160,840,1:50000,30,801002:50,120,14:100,60,14:100,60,14:100,60,14:0,,14:0,,14:0,
40,,40,0~1,40,1:120000,72,803002:84,302,702172:9;702185:12,190,702173:9;702177:12,190,1:280000;6:1160,864,1:50000,30,801002:52,124,14:100,60,14:100,60,14:100,60,14:100,60,14:0,,14:0,
41,,41,0~1,41,1:120000,72,803002:84,302,702172:9;702185:12,190,702173:9;702177:12,190,1:280000;6:1160,864,10:16,153,801002:58,139,14:100,60,14:100,60,14:100,60,14:100,60,14:0,,14:0,
42,,42,0~1,42,1:120000,72,803002:84,302,702172:9;702185:12,190,702173:9;702177:12,190,1:280000;6:1160,864,10:19,182,801002:62,148,14:100,60,14:100,60,14:100,60,14:100,60,14:0,,14:0,
43,,43,0~1,43,1:120000,72,803002:84,302,702172:9;702185:12,190,702173:9;702177:12,190,1:280000;6:1160,864,10:20,192,801002:68,163,14:100,60,14:100,60,14:100,60,14:100,60,14:0,,14:0,
44,,44,0~1,44,1:120000,72,803002:114,410,702172:9;702185:12,190,702173:9;702177:12,190,1:280000;6:1160,864,10:21,201,801002:72,172,14:100,60,14:100,60,14:100,60,14:100,60,14:0,,14:0,
45,,45,0~1,45,1:120000,72,803002:114,410,702172:9;702185:12,190,702173:9;702177:12,190,1:280000;6:1160,864,10:22,211,801002:78,187,14:100,60,14:100,60,14:100,60,14:100,60,14:0,,14:0,
46,,46,0~1,46,1:120000,72,803002:114,410,702172:9;702185:12,190,702173:9;702177:12,190,1:280000;6:1160,864,10:23,220,801002:82,196,14:100,60,14:100,60,14:100,60,14:100,60,14:0,,14:0,
47,,47,0~1,47,1:120000,72,803002:114,410,702172:9;702185:12,190,702173:9;702177:12,190,1:280000;6:1160,864,10:25,240,801002:88,211,14:100,60,14:100,60,14:100,60,14:100,60,14:0,,14:0,
48,,48,0~1,48,1:140000,84,803002:114,410,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:26,249,801002:92,220,14:100,60,14:100,60,14:100,60,14:100,60,14:0,,14:0,
49,,49,0~1,49,1:140000,84,803002:114,410,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:28,268,801002:100,240,14:100,60,14:100,60,14:100,60,14:100,60,14:0,,14:0,
50,,50,0~1,50,1:140000,84,803002:114,410,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:29,278,801002:104,249,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:0,
51,,51,0~1,51,1:140000,84,803002:114,410,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:31,297,801002:110,264,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:0,
52,,52,0~1,52,1:140000,84,803002:114,410,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:34,326,801002:116,278,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:0,
53,,53,0~1,53,1:140000,84,803002:114,410,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:35,336,801002:122,292,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:0,
54,,54,0~1,54,1:140000,84,803002:168,604,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:37,355,801002:130,312,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:0,
55,,55,0~1,55,1:140000,84,803002:168,604,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:40,384,801002:134,321,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:0,
56,,56,0~1,56,1:140000,84,803002:168,604,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:42,403,801002:140,336,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:0,
57,,57,0~1,57,1:140000,84,803002:168,604,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:44,422,801002:148,355,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:0,
58,,58,0~1,58,1:140000,84,803002:168,604,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:48,460,801002:156,374,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:0,
59,,59,0~1,59,1:140000,84,803002:168,604,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:50,480,801002:162,388,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:0,
60,,60,0~1,60,1:140000,84,803002:168,604,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:52,499,801002:168,403,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
61,,61,0~1,61,1:140000,84,803002:168,604,702172:9;702186:12,190,702173:9;702178:12,190,1:280000;6:1160,864,10:56,537,801002:176,422,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
62,,62,0~1,62,1:140000,84,803002:168,604,702164:12;702187:9,252,702155:12;702179:9,252,1:280000;6:1160,864,10:58,556,801002:182,436,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
63,,63,0~1,63,1:140000,84,803002:168,604,702164:12;702187:9,252,702155:12;702179:9,252,1:280000;6:1160,864,10:60,576,801002:190,456,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
64,,64,0~1,64,1:140000,84,803002:254,914,702164:12;702187:9,252,702155:12;702179:9,252,1:280000;6:1160,864,10:64,614,801002:196,470,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
65,,65,0~1,65,1:140000,84,803002:254,914,702164:12;702187:9,252,702155:12;702179:9,252,1:280000;6:1160,864,10:66,633,801002:204,489,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
66,,66,0~1,66,1:140000,84,803002:254,914,702164:12;702187:9,252,702155:12;702179:9,252,1:280000;6:1160,864,10:68,652,801002:212,508,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
67,,67,0~1,67,1:140000,84,803002:254,914,702164:12;702187:9,252,702155:12;702179:9,252,1:280000;6:1160,864,10:72,691,801002:220,528,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
68,,68,0~1,68,1:140000,84,803002:254,914,702164:12;702187:9,252,702155:12;702179:9,252,1:280000;6:1160,864,10:75,720,801002:228,547,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
69,,69,0~1,69,1:140000,84,803002:254,914,702164:12;702187:9,252,702155:12;702179:9,252,1:280000;6:1160,864,10:78,748,801002:236,566,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
70,,70,0~1,70,1:140000,84,803002:254,914,702164:12;702187:9,252,702155:12;702179:9,252,1:280000;6:1160,864,10:84,806,801002:244,585,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
71,,71,0~1,71,1:140000,84,803002:254,914,702164:12;702187:9,252,702155:12;702179:9,252,1:280000;6:1160,864,10:87,835,801002:252,604,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
72,,72,0~1,72,1:140000,84,803002:254,914,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:90,864,801002:260,624,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
73,,73,0~1,73,1:140000,84,803002:254,914,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:96,921,801002:270,648,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
74,,74,0~1,74,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:99,950,801002:278,667,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
75,,75,0~1,75,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:102,979,801002:288,691,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
76,,76,0~1,76,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:108,1036,801002:296,710,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
77,,77,0~1,77,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:111,1065,801002:306,734,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
78,,78,0~1,78,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:114,1094,801002:314,753,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
79,,79,0~1,79,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:120,1152,801002:324,777,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
80,,80,0~1,80,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:124,1190,801002:332,796,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
81,,81,0~1,81,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:128,1228,801002:342,820,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
82,,82,0~1,82,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:136,1305,801002:352,844,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
83,,83,0~1,83,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:140,1344,801002:362,868,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
84,,84,0~1,84,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:144,1382,801002:372,892,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
85,,85,0~1,85,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:152,1459,801002:382,916,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
86,,86,0~1,86,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:156,1497,801002:392,940,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
87,,87,0~1,87,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:160,1536,801002:402,964,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
88,,88,0~1,88,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:168,1612,801002:412,988,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
89,,89,0~1,89,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:176,1689,801002:424,1017,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
90,,90,0~1,90,1:140000,84,803002:362,1303,702165:12;702188:9,252,702156:12;702180:9,252,1:280000;6:1160,864,10:184,1766,801002:434,1041,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60,14:100,60
91,,1,2,91,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
92,,2,2,92,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
93,,3,2,93,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
94,,4,2,94,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
95,,5,2,95,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
96,,6,2,96,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
97,,7,2,97,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
98,,8,2,98,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
99,,9,2,99,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
100,,10,2,100,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
101,,11,2,101,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
102,,12,2,102,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
103,,13,2,103,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
104,,14,2,104,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
105,,15,2,105,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
106,,16,2,106,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
107,,17,2,107,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
108,,18,2,108,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30
109,,19,2,109,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,14:150,114,14:150,114,14:0,,14:0,,14:0,,14:0,
110,,20,2,110,1:50000,54,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,14:150,114,14:150,114,14:0,,14:0,,14:0,,14:0,
111,,21,2,111,1:150000,114,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,14:150,114,14:150,114,14:0,,14:0,,14:0,,14:0,
112,,22,2,112,1:150000,114,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,14:150,114,14:150,114,14:0,,14:0,,14:0,,14:0,
113,,23,2,113,1:150000,114,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:4,9,14:150,114,14:150,114,14:0,,14:0,,14:0,,14:0,
114,,24,2,114,1:150000,114,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:6,14,14:150,114,14:150,114,14:0,,14:0,,14:0,,14:0,
115,,25,2,115,1:150000,114,1:50000,30,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:6,14,14:150,114,14:150,114,14:0,,14:0,,14:0,,14:0,
116,,26,2,116,1:150000,114,803002:75,330,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:8,19,14:150,114,14:150,114,14:0,,14:0,,14:0,,14:0,
117,,27,2,117,1:150000,114,803002:75,330,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:10,24,14:150,114,14:150,114,14:0,,14:0,,14:0,,14:0,
118,,28,2,118,1:150000,114,803002:75,330,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:12,28,14:150,114,14:150,114,14:0,,14:0,,14:0,,14:0,
119,,29,2,119,1:150000,114,803002:75,330,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:14,33,14:150,114,14:150,114,14:0,,14:0,,14:0,,14:0,
120,,30,2,120,1:150000,114,803002:75,330,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:16,38,14:150,114,14:150,114,14:0,,14:0,,14:0,,14:0,
121,,31,2,121,1:150000,114,803002:75,330,1:50000,30,1:50000,30,1:50000,30,1:50000,30,801002:18,43,14:150,114,14:150,114,14:0,,14:0,,14:0,,14:0,
122,,32,2,122,1:150000,114,803002:75,330,702170:12;702183:9,176,702153:12;702176:9,176,1:50000,30,1:50000,30,801002:20,48,14:150,114,14:150,114,14:150,114,14:0,,14:0,,14:0,
123,,33,2,123,1:150000,114,803002:126,513,702170:12;702183:9,176,702153:12;702176:9,176,1:50000,30,1:50000,30,801002:22,52,14:150,114,14:150,114,14:150,114,14:0,,14:0,,14:0,
124,,34,2,124,1:150000,114,803002:126,513,702170:12;702183:9,176,702153:12;702176:9,176,1:50000,30,1:50000,30,801002:24,57,14:150,114,14:150,114,14:150,114,14:0,,14:0,,14:0,
125,,35,2,125,1:150000,114,803002:126,513,702170:12;702183:9,176,702153:12;702176:9,176,1:50000,30,1:50000,30,801002:30,72,14:150,114,14:150,114,14:150,114,14:0,,14:0,,14:0,
126,,36,2,126,1:150000,114,803002:126,513,702170:12;702183:9,176,702153:12;702176:9,176,1:240000;6:1160,840,1:50000,30,801002:32,76,14:150,114,14:150,114,14:150,114,14:0,,14:0,,14:0,
127,,37,2,127,1:150000,114,803002:126,513,702170:12;702183:9,176,702153:12;702176:9,176,1:240000;6:1160,840,1:50000,30,801002:36,86,14:150,114,14:150,114,14:150,114,14:0,,14:0,,14:0,
128,,38,2,128,1:150000,114,803002:126,513,702172:9;702185:12,190,702173:9;702177:12,190,1:240000;6:1160,840,1:50000,30,801002:40,96,14:150,114,14:150,114,14:150,114,14:0,,14:0,,14:0,
129,,39,2,129,1:150000,114,803002:126,513,702172:9;702185:12,190,702173:9;702177:12,190,1:240000;6:1160,840,1:50000,30,801002:50,120,14:150,114,14:150,114,14:150,114,14:0,,14:0,,14:0,
130,,40,2,130,1:180000,132,803002:126,513,702172:9;702185:12,190,702173:9;702177:12,190,1:280000;6:1160,864,1:50000,30,801002:52,124,14:150,114,14:150,114,14:150,114,14:150,114,14:0,,14:0,
