key,Remarks,id,itemCfgId,baseRate,dropCount,itemsFormula,fk
54,,54,704038,3333,1,30039,魂石(袁天君)
55,,55,704039,3333,1,30040,魂石(金光圣母)
56,,56,806001,3000,1,200000,扫荡券
57,,57,802001,375,1,300000,玛瑙石
58,,58,801001,750,1,300000,1级晶石
59,,59,605001,900,1,89001,青云剑（碎片）
60,,60,605101,900,1,89001,赤焰幡（碎片）
61,,61,605005,900,1,89001,青莲宝色旗（碎片）
62,,62,605105,900,1,89001,天绝阵（碎片）
63,,63,604004,341,1,89002,神火轮（碎片）
64,,64,604004,353,1,89003,神火轮（碎片）
65,,65,604003,981,1,89003,雷光锤（碎片）
66,,66,604003,983,1,89004,雷光锤（碎片）
67,,67,604003,1036,1,89005,雷光锤（碎片）
68,,68,604016,4500,1,89005,战神枪（碎片）
69,,69,604016,4500,1,89006,战神枪（碎片）
70,,70,801001,10000,1,89007,1级晶石
71,,71,801001,6000,1,89008,1级晶石
72,,72,801002,4000,1,89008,2级晶石
73,,73,801001,2000,1,89009,1级晶石
74,,74,801002,5000,1,89009,2级晶石
75,,75,801003,3000,1,89009,3级晶石
76,,76,801002,3000,1,89010,2级晶石
77,,77,801003,4500,1,89010,3级晶石
78,,78,801004,2500,1,89010,4级晶石
79,,79,801003,4700,1,89011,3级晶石
80,,80,801004,5200,1,89011,4级晶石
81,,81,804001,1500,1,89049,1级符文
82,,82,804001,2000,2,89049,1级符文
83,,83,804001,5000,3,89049,1级符文
84,,84,804001,1000,4,89049,1级符文
85,,85,804001,500,5,89049,1级符文
86,,86,804001,4000,2,89050,1级符文
87,,87,804001,1000,3,89050,1级符文
88,,88,804002,4500,1,89050,2级符文
89,,89,804002,500,2,89050,2级符文
90,,90,804002,6000,1,89051,2级符文
91,,91,804002,3000,2,89051,2级符文
92,,92,804002,1000,3,89051,2级符文
93,,93,804002,3000,2,89052,2级符文
94,,94,804002,3000,3,89052,2级符文
95,,95,804002,2000,4,89052,2级符文
96,,96,804003,1000,1,89052,3级符文
97,,97,804003,1000,2,89052,3级符文
98,,98,804003,8000,1,89053,3级符文
99,,99,804003,1500,2,89053,3级符文
100,,100,804003,500,3,89053,3级符文
101,,101,602105,10000,1,89054,青莲宝色旗
102,,102,605101,5000,1,90001,赤焰幡（碎片）
103,,103,605101,5000,2,90001,赤焰幡（碎片）
104,,104,605002,2500,1,90002,莫邪剑（碎片）
105,,105,605102,2500,1,90002,追魂幡（碎片）
106,,106,605002,2500,2,90002,莫邪剑（碎片）
107,,107,605102,2500,2,90002,追魂幡（碎片）
108,,108,605002,2500,2,90003,莫邪剑（碎片）
109,,109,605102,2500,2,90003,追魂幡（碎片）
110,,110,605002,2500,3,90003,莫邪剑（碎片）
111,,111,605102,2500,3,90003,追魂幡（碎片）
112,,112,605003,5000,1,90004,飞焰剑（碎片）
113,,113,605003,5000,2,90004,飞焰剑（碎片）
114,,114,605004,5000,1,90005,诛仙剑（碎片）
115,,115,605004,5000,2,90005,诛仙剑（碎片）
116,,116,700001,8000,1,31001,铜刀
117,,117,700002,5000,1,31002,三尺剑
118,,118,700003,5000,1,31003,雁翎刀
119,,119,700004,5000,1,31004,巨阙剑
120,,120,700005,4200,1,31005,昆吾刀
121,,121,700006,4200,1,31006,承影剑
122,,122,700007,3400,1,31007,大夏龙雀
123,,123,700008,3400,1,31008,干将莫邪
124,,124,700009,3400,1,31009,苗刀之祖
125,,125,700010,3000,1,31010,七星龙渊
126,,126,700011,3000,1,31011,青龙偃月
127,,127,700012,3000,1,31012,轩辕夏禹剑
128,,128,700013,8000,1,31013,长枪
129,,129,700014,5000,1,31014,凤头斧
130,,130,700015,5000,1,31015,点钢枪
131,,131,700016,5000,1,31016,铁骨朵锤
132,,132,700017,4200,1,31017,火龙枪
133,,133,700018,4200,1,31018,斗大银锤
134,,134,700019,3400,1,31019,蟠龙金枪
135,,135,700020,3400,1,31020,干戚神斧
136,,136,700021,3400,1,31021,沥泉神矛
137,,137,700022,3000,1,31022,五丁开山
138,,138,700023,3000,1,31023,丈八点刚矛
139,,139,700024,3000,1,31024,盘古开山斧
140,,140,700025,10000,1,31025,角弓
141,,141,700026,5000,1,31026,直拉弓
142,,142,700027,5000,1,31027,反曲弓
143,,143,700028,5000,1,31028,六韬三略
144,,144,700029,4200,1,31029,神臂弓
145,,145,700030,4200,1,31030,诸葛连弩
146,,146,700031,3400,1,31031,混元斗
147,,147,700032,3400,1,31032,诛仙剑图
148,,148,700033,3400,1,31033,养由基弓
149,,149,700034,3000,1,31034,七宝妙树
150,,150,700035,3000,1,31035,射雕弯弓
151,,151,700036,3000,1,31036,五福玉如意
152,,152,700037,8000,1,31037,长杖
153,,153,700038,5000,1,31038,枯木杖
154,,154,700039,5000,1,31039,镶玉杖
155,,155,700040,5000,1,31040,天师杖
156,,156,700041,4200,1,31041,达摩杖
157,,157,700042,4200,1,31042,四书五经
158,,158,700043,3400,1,31043,混元法杖
159,,159,700044,3400,1,31044,上古魔杖
160,,160,700045,3400,1,31045,莲台法杖
161,,161,700046,3000,1,31046,魔罗法杖
162,,162,700047,3000,1,31047,拂尘魔杖
163,,163,700048,3000,1,31048,雾露乾坤杖
164,,164,700061,8000,1,31049,水精
165,,165,700062,5000,1,31050,定风珠
166,,166,700063,5000,1,31051,五光石
167,,167,700064,5000,1,31052,混元珠
168,,168,700065,4200,1,31053,仙杏石
169,,169,700066,4200,1,31054,开天珠
170,,170,700067,3400,1,31055,月游石晶
171,,171,700068,3400,1,31056,离火灵珠
172,,172,700069,3400,1,31057,宝莲玉晶
173,,173,700070,3000,1,31058,重水宝珠
174,,174,700071,3000,1,31059,五彩玉石
175,,175,700072,3000,1,31060,天地日月珠
176,,176,700073,8000,1,31061,护腕
177,,177,700074,5000,1,31062,银面具
178,,178,700075,5000,1,31063,金护腕
179,,179,700076,5000,1,31064,锦面纱
180,,180,700077,4200,1,31065,归墟骨幡
181,,181,700078,4200,1,31066,乌烈罩
182,,182,700079,3400,1,31067,勾魂夺魄
183,,183,700080,3400,1,31068,骨灵森森
184,,184,700081,3400,1,31069,两仪手套
185,,185,700082,3000,1,31070,四象面纱
186,,186,700083,3000,1,31071,上古护手
187,,187,700084,3000,1,31072,洪荒金龙罩
188,,188,700091,8000,1,31073,铜靴
189,,189,700092,5000,1,31074,逐日靴
190,,190,700093,4200,1,31075,炽焰神靴
191,,191,700094,3400,1,31076,御风神靴
192,,192,700095,3000,1,31077,九州神行履
193,,193,700096,5000,1,31078,步云履
194,,194,700097,4200,1,31079,乌光神靴
195,,195,700098,3400,1,31080,紫光神靴
196,,196,700099,3000,1,31081,天罡正气履
197,,197,700100,8000,1,31082,铁盔
198,,198,700101,5000,1,31083,白银盔
199,,199,700102,5000,1,31084,黄金盔
200,,200,700103,5000,1,31085,沧海盔
201,,201,700104,4200,1,31086,龙鳞盔
202,,202,700105,4200,1,31087,狂战盔
203,,203,700106,3400,1,31088,白虎铠
204,,204,700107,3400,1,31089,星辰头盔
205,,205,700108,3400,1,31090,贪狼头盔
206,,206,700109,3000,1,31091,破军头盔
207,,207,700110,3000,1,31092,地煞头盔
208,,208,700111,3000,1,31093,紫薇罡气盔
209,,209,700112,8000,1,31094,战袍
210,,210,700113,5000,1,31095,虎皮袍
211,,211,700114,5000,1,31096,龙须袍
212,,212,700115,5000,1,31097,金乌带
213,,213,700116,4200,1,31098,八荒袍
214,,214,700117,4200,1,31099,金乌袍
215,,215,700118,3400,1,31100,出尘披风
216,,216,700119,3400,1,31101,化羽披风
217,,217,700120,3400,1,31102,神风披风
218,,218,700121,3000,1,31103,玄魄披风
219,,219,700122,3000,1,31104,汇灵披风
220,,220,700123,3000,1,31105,烈火屠龙披
221,,221,700124,8000,1,31106,铁甲
222,,222,700125,5000,1,31107,赤金铠
223,,223,700126,5000,1,31108,白银铠
224,,224,700127,5000,1,31109,幽冥头盔
225,,225,700128,4200,1,31110,朱雀铠
226,,226,700129,4200,1,31111,青龙铠
227,,227,700130,3400,1,31112,银鳞胸甲
228,,228,700131,3400,1,31113,炎蟒胸甲
229,,229,700132,3400,1,31114,斩影胸甲
230,,230,700133,3000,1,31115,噬魂胸甲
231,,231,700134,3000,1,31116,冶炼胸甲
232,,232,700135,3000,1,31117,战神虎烈甲
233,,233,700136,8000,1,31118,护肩
234,,234,700137,5000,1,31119,犀牛带
235,,235,700138,5000,1,31120,钨铁肩
236,,236,700139,5000,1,31121,金乌肩
237,,237,700140,4200,1,31122,冥海带
238,,238,700141,4200,1,31123,追星披
239,,239,700142,3400,1,31124,风雷护肩
240,,240,700143,3400,1,31125,乾坤腰带
241,,241,700144,3400,1,31126,修罗护肩
242,,242,700145,3000,1,31127,玄黄腰带
243,,243,700146,3000,1,31128,上古护肩
244,,244,700147,3000,1,31129,洪荒金龙缚
245,,245,700148,8000,1,31130,骨链
246,,246,700149,5000,1,31131,护身符
247,,247,700150,5000,1,31132,五龙坠
248,,248,700151,4200,1,31133,琥珀项链
249,,249,700153,4200,1,31134,瑶池之宝
250,,250,700154,3400,1,31135,山海异志录
251,,251,700155,3000,1,31136,圣魔项链
252,,252,700156,3000,1,31137,八卦如意坠
253,,253,700157,8000,1,31138,护符
254,,254,700158,5000,1,31139,青冥玉
255,,255,700159,5000,1,31140,铁嘴玉
256,,256,700160,4200,1,31141,赤焰火罩
257,,257,700161,4200,1,31142,白玉金镯
258,,258,700162,3400,1,31143,孙子兵法
259,,259,700164,3000,1,31144,清净琉璃
260,,260,700165,3000,1,31145,玲珑宝塔坠
261,,261,700174,8000,1,31146,铁戒
262,,262,700175,5000,1,31147,草编戒
263,,263,700176,4200,1,31148,仙草环
264,,264,700177,3400,1,31149,兽骨戒指
265,,265,700178,3400,1,31150,白虎之戒
266,,266,700179,3000,1,31151,天罡戒指
267,,267,700180,3000,1,31152,混元一气戒
268,,268,700181,8000,1,31153,银戒
269,,269,700182,5000,1,31154,玉扳指
270,,270,700183,4200,1,31155,青鸾戒
271,,271,700185,3400,1,31156,朱雀之戒
272,,272,700186,3400,1,31157,地煞戒指
273,,273,700187,3000,1,31158,翡翠戒指
274,,274,700188,3000,1,31159,青龙之戒
275,,275,703005,4200,1,31160,昆吾刀卷轴
276,,276,703007,3400,1,31161,大夏龙雀卷轴
277,,277,703008,3400,1,31162,干将莫邪卷轴
278,,278,703009,3400,1,31163,苗刀之祖卷轴
279,,279,703017,4200,1,31164,火龙枪卷轴
280,,280,703019,3400,1,31165,蟠龙金枪卷轴
281,,281,703020,3400,1,31166,干戚神斧卷轴
282,,282,703021,3400,1,31167,沥泉神矛卷轴
283,,283,703029,4200,1,31168,神臂弓卷轴
284,,284,703030,3400,1,31169,混元斗卷轴
285,,285,703032,3400,1,31170,诛仙剑图卷轴
286,,286,703033,3400,1,31171,养由基弓卷轴
287,,287,703040,4200,1,31172,达摩杖卷轴
288,,288,703043,3400,1,31173,混元法杖卷轴
289,,289,703044,3400,1,31174,上古魔杖卷轴
290,,290,703045,3400,1,31175,莲台法杖卷轴
291,,291,703104,4200,1,31176,龙鳞盔卷轴
292,,292,703105,4200,1,31177,狂战盔卷轴
293,,293,703127,3400,1,31178,白虎铠卷轴
294,,294,703107,3400,1,31179,星辰头盔卷轴
295,,295,703108,3400,1,31180,贪狼头盔卷轴
296,,296,703116,4200,1,31181,八荒袍卷轴
297,,297,703117,4200,1,31182,金乌袍卷轴
298,,298,703118,3400,1,31183,出尘披风卷轴
299,,299,703119,3400,1,31184,化羽披风卷轴
300,,300,703120,3400,1,31185,神风披风卷轴
301,,301,703128,4200,1,31186,朱雀铠卷轴
302,,302,703129,4200,1,31187,青龙铠卷轴
303,,303,703130,3400,1,31188,银鳞胸甲卷轴
304,,304,703131,3400,1,31189,炎蟒胸甲卷轴
305,,305,703132,3400,1,31190,斩影胸甲卷轴
306,,306,703139,4200,1,31191,冥海带卷轴
307,,307,703115,4200,1,31192,追星披卷轴
308,,308,703142,3400,1,31193,风雷护肩卷轴
309,,309,703143,3400,1,31194,乾坤腰带卷轴
310,,310,703144,3400,1,31195,修罗护肩卷轴
311,,311,703092,5000,1,31196,逐日靴卷轴
312,,312,703093,4200,1,31197,炽焰神靴卷轴
313,,313,703094,3400,1,31198,御风神靴卷轴
314,,314,703096,5000,1,31199,步云履卷轴
315,,315,703097,4200,1,31200,乌光神靴卷轴
316,,316,703098,3400,1,31201,紫光神靴卷轴
317,,317,702004,5000,1,31202,巨阙剑碎片
318,,318,702006,4200,1,31203,承影剑碎片
319,,319,702010,3000,1,31204,七星龙渊碎片
320,,320,702011,3000,1,31205,青龙偃月碎片
321,,321,702012,3000,1,31206,轩辕夏禹剑碎片
322,,322,702056,5000,1,31207,铁骨朵锤碎片
323,,323,702058,4200,1,31208,斗大银锤碎片
324,,324,702022,3000,1,31209,五丁开山碎片
325,,325,702023,3000,1,31210,丈八点刚矛碎片
326,,326,702024,3000,1,31211,盘古开山斧碎片
327,,327,702052,5000,1,31212,六韬三略碎片
328,,328,702031,4200,1,31213,诸葛连弩碎片
329,,329,702034,3000,1,31214,七宝妙树碎片
330,,330,702035,3000,1,31215,射雕弯弓碎片
331,,331,702036,3000,1,31216,五福玉如意碎片
332,,332,702041,5000,1,31217,天师杖碎片
333,,333,702049,4200,1,31218,四书五经碎片
334,,334,702046,3000,1,31219,魔罗法杖碎片
335,,335,702047,3000,1,31220,拂尘魔杖碎片
336,,336,702048,3000,1,31221,雾露乾坤杖碎片
337,,337,702065,4200,1,31222,仙杏石碎片
338,,338,702067,3400,1,31223,月游石晶碎片
339,,339,702068,3400,1,31224,离火灵珠碎片
340,,340,702070,3000,1,31225,重水宝珠碎片
341,,341,702071,3000,1,31226,五彩玉石碎片
342,,342,702072,3000,1,31227,天地日月珠碎片
343,,343,702087,4200,1,31228,归墟骨幡碎片
344,,344,702088,3400,1,31229,勾魂夺魄碎片
345,,345,702089,3400,1,31230,骨灵森森碎片
346,,346,702082,3000,1,31231,四象面纱碎片
347,,347,702083,3000,1,31232,上古护手碎片
348,,348,702084,3000,1,31233,洪荒金龙罩碎片
349,,349,702095,3000,1,31234,九州神行履碎片
350,,350,702099,3000,1,31235,天罡正气履碎片
351,,351,702103,5000,1,31236,沧海盔碎片
352,,352,702109,3000,1,31237,破军头盔碎片
353,,353,702110,3000,1,31238,地煞头盔碎片
354,,354,702111,3000,1,31239,紫薇罡气盔碎片
355,,355,702141,5000,1,31240,金乌带碎片
356,,356,702121,3000,1,31241,玄魄披风碎片
357,,357,702122,3000,1,31242,汇灵披风碎片
358,,358,702123,3000,1,31243,烈火屠龙披碎片
359,,359,702106,5000,1,31244,幽冥头盔碎片
360,,360,702133,3000,1,31245,噬魂胸甲碎片
361,,361,702134,3000,1,31246,冶炼胸甲碎片
362,,362,702135,3000,1,31247,战神虎烈甲碎片
363,,363,702140,5000,1,31248,金乌肩碎片
364,,364,702145,3000,1,31249,玄黄腰带碎片
365,,365,702146,3000,1,31250,上古护肩碎片
366,,366,702147,3000,1,31251,洪荒金龙缚碎片
367,,367,702153,4200,1,31252,琥珀项链碎片
368,,368,702173,4200,1,31253,瑶池之宝碎片
369,,369,702155,3000,1,31254,圣魔项链碎片
370,,370,702156,3000,1,31255,八卦如意坠碎片
371,,371,702170,4200,1,31256,赤焰火罩碎片
372,,372,702172,4200,1,31257,白玉金镯碎片
373,,373,702164,3000,1,31258,清净琉璃碎片
374,,374,702165,3000,1,31259,玲珑宝塔坠碎片
375,,375,702176,4200,1,31260,仙草环碎片
376,,376,702177,3400,1,31261,兽骨戒指碎片
377,,377,702178,3400,1,31262,白虎之戒碎片
378,,378,702179,3000,1,31263,天罡戒指碎片
379,,379,702180,3000,1,31264,混元一气戒碎片
380,,380,702183,4200,1,31265,青鸾戒碎片
381,,381,702185,3400,1,31266,朱雀之戒碎片
382,,382,702186,3400,1,31267,地煞戒指碎片
383,,383,702187,3000,1,31268,翡翠戒指碎片
384,,384,702188,3000,1,31269,青龙之戒碎片
385,,385,707005,4200,1,31270,昆吾刀卷轴碎片
386,,386,707007,3400,1,31271,大夏龙雀卷轴碎片
387,,387,707008,3400,1,31272,干将莫邪卷轴碎片
388,,388,707009,3400,1,31273,苗刀之祖卷轴碎片
389,,389,707017,4200,1,31274,火龙枪卷轴碎片
390,,390,707019,3400,1,31275,蟠龙金枪卷轴碎片
391,,391,707020,3400,1,31276,干戚神斧卷轴碎片
392,,392,707021,3400,1,31277,沥泉神矛卷轴碎片
393,,393,707029,4200,1,31278,神臂弓卷轴碎片
394,,394,707030,3400,1,31279,混元斗卷轴碎片
395,,395,707032,3400,1,31280,诛仙剑图卷轴碎片
396,,396,707033,3400,1,31281,养由基弓卷轴碎片
397,,397,707040,4200,1,31282,达摩杖卷轴碎片
398,,398,707043,3400,1,31283,混元法杖卷轴碎片
399,,399,707044,3400,1,31284,上古魔杖卷轴碎片
400,,400,707045,3400,1,31285,莲台法杖卷轴碎片
401,,401,707104,4200,1,31286,龙鳞盔卷轴碎片
402,,402,707105,4200,1,31287,狂战盔卷轴碎片
403,,403,707127,3400,1,31288,白虎铠卷轴碎片
404,,404,707107,3400,1,31289,星辰头盔卷轴碎片
405,,405,707108,3400,1,31290,贪狼头盔卷轴碎片
406,,406,707116,4200,1,31291,八荒袍卷轴碎片
407,,407,707117,4200,1,31292,金乌袍卷轴碎片
408,,408,707118,3400,1,31293,出尘披风卷轴碎片
409,,409,707119,3400,1,31294,化羽披风卷轴碎片
410,,410,707120,3400,1,31295,神风披风卷轴碎片
411,,411,707128,4200,1,31296,朱雀铠卷轴碎片
412,,412,707129,4200,1,31297,青龙铠卷轴碎片
413,,413,707130,3400,1,31298,银鳞胸甲卷轴碎片
414,,414,707131,3400,1,31299,炎蟒胸甲卷轴碎片
415,,415,707132,3400,1,31300,斩影胸甲卷轴碎片
416,,416,707139,4200,1,31301,冥海带卷轴碎片
417,,417,707115,4200,1,31302,追星披卷轴碎片
418,,418,707142,3400,1,31303,风雷护肩卷轴碎片
419,,419,707143,3400,1,31304,乾坤腰带卷轴碎片
420,,420,707144,3400,1,31305,修罗护肩卷轴碎片
421,,421,707092,5000,1,31306,逐日靴卷轴碎片
422,,422,707093,4200,1,31307,炽焰神靴卷轴碎片
423,,423,707094,3400,1,31308,御风神靴卷轴碎片
424,,424,707096,5000,1,31309,步云履卷轴碎片
425,,425,707097,4200,1,31310,乌光神靴卷轴碎片
426,,426,707098,3400,1,31311,紫光神靴卷轴碎片
427,,427,702173,2000,6,32001,护符6A碎片
428,,428,702173,2000,7,32001,护符6A碎片
429,,429,702173,2000,8,32001,护符6A碎片
430,,430,702173,2000,9,32001,护符6A碎片
431,,431,702173,2000,10,32001,护符6A碎片
432,,432,702173,2000,6,32002,护符6A碎片
433,,433,702173,2000,7,32002,护符6A碎片
434,,434,702173,2000,8,32002,护符6A碎片
435,,435,702173,2000,9,32002,护符6A碎片
436,,436,702173,2000,10,32002,护符6A碎片
437,,437,702054,2000,4,32003,护符8A碎片
438,,438,702054,2000,5,32003,护符8A碎片
439,,439,702054,2000,6,32003,护符8A碎片
440,,440,702054,2000,7,32003,护符8A碎片
441,,441,702054,2000,8,32003,护符8A碎片
442,,442,702054,2000,4,32004,护符8A碎片
443,,443,702054,2000,5,32004,护符8A碎片
444,,444,702054,2000,6,32004,护符8A碎片
445,,445,702054,2000,7,32004,护符8A碎片
446,,446,702054,2000,8,32004,护符8A碎片
447,,447,702054,2000,4,32005,护符8A碎片
448,,448,702054,2000,5,32005,护符8A碎片
449,,449,702054,2000,6,32005,护符8A碎片
450,,450,702054,2000,7,32005,护符8A碎片
451,,451,702054,2000,8,32005,护符8A碎片
452,,452,702176,2000,6,32006,戒指5A碎片
453,,453,702176,2000,7,32006,戒指5A碎片
454,,454,702176,2000,8,32006,戒指5A碎片
455,,455,702176,2000,9,32006,戒指5A碎片
456,,456,702176,2000,10,32006,戒指5A碎片
457,,457,702177,2000,4,32007,戒指7A碎片
458,,458,702177,2000,5,32007,戒指7A碎片
459,,459,702177,2000,6,32007,戒指7A碎片
460,,460,702177,2000,7,32007,戒指7A碎片
461,,461,702177,2000,8,32007,戒指7A碎片
462,,462,702177,2000,6,32008,戒指7A碎片
463,,463,702177,2000,7,32008,戒指7A碎片
464,,464,702177,2000,8,32008,戒指7A碎片
465,,465,702177,2000,9,32008,戒指7A碎片
466,,466,702177,2000,10,32008,戒指7A碎片
467,,467,702178,2000,4,32009,戒指9A碎片
468,,468,702178,2000,5,32009,戒指9A碎片
469,,469,702178,2000,6,32009,戒指9A碎片
470,,470,702178,2000,7,32009,戒指9A碎片
471,,471,702178,2000,8,32009,戒指9A碎片
472,,472,702178,2000,6,32010,戒指9A碎片
473,,473,702178,2000,7,32010,戒指9A碎片
474,,474,702178,2000,8,32010,戒指9A碎片
475,,475,702178,2000,9,32010,戒指9A碎片
476,,476,702178,2000,10,32010,戒指9A碎片
477,,477,702172,2000,6,32011,护符6B碎片
478,,478,702172,2000,7,32011,护符6B碎片
479,,479,702172,2000,8,32011,护符6B碎片
480,,480,702172,2000,9,32011,护符6B碎片
481,,481,702172,2000,10,32011,护符6B碎片
482,,482,702172,2000,6,32012,护符6B碎片
483,,483,702172,2000,7,32012,护符6B碎片
484,,484,702172,2000,8,32012,护符6B碎片
485,,485,702172,2000,9,32012,护符6B碎片
486,,486,702172,2000,10,32012,护符6B碎片
487,,487,702053,2000,4,32013,护符8B碎片
488,,488,702053,2000,5,32013,护符8B碎片
489,,489,702053,2000,6,32013,护符8B碎片
490,,490,702053,2000,7,32013,护符8B碎片
491,,491,702053,2000,8,32013,护符8B碎片
492,,492,702053,2000,4,32014,护符8B碎片
493,,493,702053,2000,5,32014,护符8B碎片
494,,494,702053,2000,6,32014,护符8B碎片
495,,495,702053,2000,7,32014,护符8B碎片
496,,496,702053,2000,8,32014,护符8B碎片
497,,497,702053,2000,4,32015,护符8B碎片
498,,498,702053,2000,5,32015,护符8B碎片
499,,499,702053,2000,6,32015,护符8B碎片
500,,500,702053,2000,7,32015,护符8B碎片
501,,501,702053,2000,8,32015,护符8B碎片
502,,502,702183,2000,6,32016,戒指5B碎片
503,,503,702183,2000,7,32016,戒指5B碎片
504,,504,702183,2000,8,32016,戒指5B碎片
505,,505,702183,2000,9,32016,戒指5B碎片
506,,506,702183,2000,10,32016,戒指5B碎片
507,,507,702185,2000,4,32017,戒指7B碎片
508,,508,702185,2000,5,32017,戒指7B碎片
509,,509,702185,2000,6,32017,戒指7B碎片
510,,510,702185,2000,7,32017,戒指7B碎片
511,,511,702185,2000,8,32017,戒指7B碎片
512,,512,702185,2000,6,32018,戒指7B碎片
513,,513,702185,2000,7,32018,戒指7B碎片
514,,514,702185,2000,8,32018,戒指7B碎片
515,,515,702185,2000,9,32018,戒指7B碎片
516,,516,702185,2000,10,32018,戒指7B碎片
517,,517,702186,2000,4,32019,戒指9B碎片
518,,518,702186,2000,5,32019,戒指9B碎片
519,,519,702186,2000,6,32019,戒指9B碎片
520,,520,702186,2000,7,32019,戒指9B碎片
521,,521,702186,2000,8,32019,戒指9B碎片
522,,522,702186,2000,6,32020,戒指9B碎片
523,,523,702186,2000,7,32020,戒指9B碎片
524,,524,702186,2000,8,32020,戒指9B碎片
525,,525,702186,2000,9,32020,戒指9B碎片
526,,526,702186,2000,10,32020,戒指9B碎片
527,,527,801001,10000,4,32501,1级晶石
528,,528,801001,10000,4,32502,1级晶石
529,,529,801001,10000,4,32503,1级晶石
530,,530,801001,10000,4,32504,1级晶石
531,,531,801001,10000,4,32505,1级晶石
532,,532,801001,10000,4,32506,1级晶石
533,,533,801001,10000,4,32507,1级晶石
534,,534,801001,10000,6,32508,1级晶石
535,,535,801001,10000,6,32509,1级晶石
536,,536,801001,10000,6,32510,1级晶石
537,,537,801001,10000,6,32511,1级晶石
538,,538,801001,10000,6,32512,1级晶石
539,,539,801001,10000,6,32513,1级晶石
540,,540,801001,10000,6,32514,1级晶石
541,,541,801001,10000,6,32515,1级晶石
542,,542,801001,10000,7,32516,1级晶石
543,,543,801001,10000,7,32517,1级晶石
544,,544,801001,10000,7,32518,1级晶石
545,,545,801001,10000,7,32519,1级晶石
546,,546,801001,10000,7,32520,1级晶石
547,,547,801001,10000,7,32521,1级晶石
548,,548,801001,10000,7,32522,1级晶石
549,,549,801001,10000,7,32523,1级晶石
550,,550,801001,10000,9,32524,1级晶石
551,,551,801001,10000,9,32525,1级晶石
552,,552,801001,10000,9,32526,1级晶石
553,,553,801001,10000,9,32527,1级晶石
554,,554,801001,10000,9,32528,1级晶石
555,,555,801001,10000,9,32529,1级晶石
556,,556,801001,10000,9,32530,1级晶石
557,,557,801001,10000,9,32531,1级晶石
558,,558,801001,10000,10,32532,1级晶石
559,,559,801001,10000,10,32533,1级晶石
560,,560,801001,10000,10,32534,1级晶石
561,,561,801001,10000,10,32535,1级晶石
562,,562,801001,10000,10,32536,1级晶石
563,,563,801001,10000,10,32537,1级晶石
564,,564,801001,10000,10,32538,1级晶石
565,,565,801001,10000,10,32539,1级晶石
566,,566,801001,10000,12,32540,1级晶石
567,,567,801001,10000,12,32541,1级晶石
