key,Remarks,id,isPlayer,order,level,coin,potential
0_0_90,,0_0_90,,,90,735000,
0_1_1,,0_1_1,,1,1,350,
0_1_2,,0_1_2,,1,2,500,
0_1_3,,0_1_3,,1,3,600,
0_1_4,,0_1_4,,1,4,850,
0_1_5,,0_1_5,,1,5,1100,
0_1_6,,0_1_6,,1,6,1250,
0_1_7,,0_1_7,,1,7,1250,
0_1_8,,0_1_8,,1,8,1250,
0_1_9,,0_1_9,,1,9,1250,
0_1_10,,0_1_10,,1,10,1350,
0_1_11,,0_1_11,,1,11,1500,
0_1_12,,0_1_12,,1,12,1650,
0_1_13,,0_1_13,,1,13,1800,
0_1_14,,0_1_14,,1,14,1950,
0_1_15,,0_1_15,,1,15,2000,
0_1_16,,0_1_16,,1,16,2100,
0_1_17,,0_1_17,,1,17,2300,
0_1_18,,0_1_18,,1,18,2750,
0_1_19,,0_1_19,,1,19,3100,
0_1_20,,0_1_20,,1,20,4800,
0_1_21,,0_1_21,,1,21,5350,
0_1_22,,0_1_22,,1,22,5950,
0_1_23,,0_1_23,,1,23,6650,
0_1_24,,0_1_24,,1,24,7400,
0_1_25,,0_1_25,,1,25,7750,
0_1_26,,0_1_26,,1,26,8050,
0_1_27,,0_1_27,,1,27,8400,
0_1_28,,0_1_28,,1,28,8750,
0_1_29,,0_1_29,,1,29,9150,
0_1_30,,0_1_30,,1,30,9500,
0_1_31,,0_1_31,,1,31,11500,
0_1_32,,0_1_32,,1,32,12000,
0_1_33,,0_1_33,,1,33,13000,
0_1_34,,0_1_34,,1,34,13500,
0_1_35,,0_1_35,,1,35,14500,
0_1_36,,0_1_36,,1,36,16000,
0_1_37,,0_1_37,,1,37,17000,
0_1_38,,0_1_38,,1,38,18500,
0_1_39,,0_1_39,,1,39,20500,
0_1_40,,0_1_40,,1,40,22000,
0_1_41,,0_1_41,,1,41,23500,
0_1_42,,0_1_42,,1,42,27000,
0_1_43,,0_1_43,,1,43,33500,
0_1_44,,0_1_44,,1,44,41000,
0_1_45,,0_1_45,,1,45,48500,
0_1_46,,0_1_46,,1,46,57000,
0_1_47,,0_1_47,,1,47,66000,
0_1_48,,0_1_48,,1,48,76000,
0_1_49,,0_1_49,,1,49,86500,
0_1_50,,0_1_50,,1,50,74500,
0_1_51,,0_1_51,,1,51,83500,
0_1_52,,0_1_52,,1,52,93000,
0_1_53,,0_1_53,,1,53,103000,
0_1_54,,0_1_54,,1,54,114000,
0_1_55,,0_1_55,,1,55,125500,
0_1_56,,0_1_56,,1,56,137500,
0_1_57,,0_1_57,,1,57,150000,
0_1_58,,0_1_58,,1,58,160000,
0_1_59,,0_1_59,,1,59,175000,
0_1_60,,0_1_60,,1,60,190000,
0_1_61,,0_1_61,,1,61,200000,
0_1_62,,0_1_62,,1,62,210000,
0_1_63,,0_1_63,,1,63,220000,
0_1_64,,0_1_64,,1,64,230000,
0_1_65,,0_1_65,,1,65,240000,
0_1_66,,0_1_66,,1,66,255000,
0_1_67,,0_1_67,,1,67,265000,
0_1_68,,0_1_68,,1,68,280000,
0_1_69,,0_1_69,,1,69,290000,
0_1_70,,0_1_70,,1,70,305000,
0_1_71,,0_1_71,,1,71,320000,
0_1_72,,0_1_72,,1,72,335000,
0_1_73,,0_1_73,,1,73,350000,
0_1_74,,0_1_74,,1,74,365000,
0_1_75,,0_1_75,,1,75,385000,
0_1_76,,0_1_76,,1,76,400000,
0_1_77,,0_1_77,,1,77,420000,
0_1_78,,0_1_78,,1,78,440000,
0_1_79,,0_1_79,,1,79,460000,
0_1_80,,0_1_80,,1,80,480000,
0_1_81,,0_1_81,,1,81,500000,
0_1_82,,0_1_82,,1,82,525000,
0_1_83,,0_1_83,,1,83,545000,
0_1_84,,0_1_84,,1,84,570000,
0_1_85,,0_1_85,,1,85,595000,
0_1_86,,0_1_86,,1,86,620000,
0_1_87,,0_1_87,,1,87,650000,
0_1_88,,0_1_88,,1,88,675000,
0_1_89,,0_1_89,,1,89,705000,
0_1_90,,0_1_90,,1,90,735000,
0_2_1,,0_2_1,,2,1,350,
0_2_2,,0_2_2,,2,2,500,
0_2_3,,0_2_3,,2,3,600,
0_2_4,,0_2_4,,2,4,850,
0_2_5,,0_2_5,,2,5,1100,
0_2_6,,0_2_6,,2,6,1250,
0_2_7,,0_2_7,,2,7,1250,
0_2_8,,0_2_8,,2,8,1250,
0_2_9,,0_2_9,,2,9,1250,
0_2_10,,0_2_10,,2,10,1350,
0_2_11,,0_2_11,,2,11,1500,
0_2_12,,0_2_12,,2,12,1650,
0_2_13,,0_2_13,,2,13,1800,
0_2_14,,0_2_14,,2,14,1950,
0_2_15,,0_2_15,,2,15,2000,
0_2_16,,0_2_16,,2,16,2100,
0_2_17,,0_2_17,,2,17,2300,
0_2_18,,0_2_18,,2,18,2750,
0_2_19,,0_2_19,,2,19,3100,
0_2_20,,0_2_20,,2,20,4800,
0_2_21,,0_2_21,,2,21,5350,
0_2_22,,0_2_22,,2,22,5950,
0_2_23,,0_2_23,,2,23,6650,
0_2_24,,0_2_24,,2,24,7400,
0_2_25,,0_2_25,,2,25,7750,
0_2_26,,0_2_26,,2,26,8050,
0_2_27,,0_2_27,,2,27,8400,
0_2_28,,0_2_28,,2,28,8750,
0_2_29,,0_2_29,,2,29,9150,
0_2_30,,0_2_30,,2,30,9500,
0_2_31,,0_2_31,,2,31,11500,
0_2_32,,0_2_32,,2,32,12000,
0_2_33,,0_2_33,,2,33,13000,
0_2_34,,0_2_34,,2,34,13500,
0_2_35,,0_2_35,,2,35,14500,
0_2_36,,0_2_36,,2,36,16000,
0_2_37,,0_2_37,,2,37,17000,
0_2_38,,0_2_38,,2,38,18500,
0_2_39,,0_2_39,,2,39,20500,
0_2_40,,0_2_40,,2,40,22000,
0_2_41,,0_2_41,,2,41,23500,
0_2_42,,0_2_42,,2,42,27000,
0_2_43,,0_2_43,,2,43,33500,
0_2_44,,0_2_44,,2,44,41000,
0_2_45,,0_2_45,,2,45,48500,
0_2_46,,0_2_46,,2,46,57000,
0_2_47,,0_2_47,,2,47,66000,
0_2_48,,0_2_48,,2,48,76000,
0_2_49,,0_2_49,,2,49,86500,
0_2_50,,0_2_50,,2,50,74500,
0_2_51,,0_2_51,,2,51,83500,
0_2_52,,0_2_52,,2,52,93000,
0_2_53,,0_2_53,,2,53,103000,
0_2_54,,0_2_54,,2,54,114000,
0_2_55,,0_2_55,,2,55,125500,
0_2_56,,0_2_56,,2,56,137500,
0_2_57,,0_2_57,,2,57,150000,
0_2_58,,0_2_58,,2,58,160000,
0_2_59,,0_2_59,,2,59,175000,
0_2_60,,0_2_60,,2,60,190000,
0_2_61,,0_2_61,,2,61,200000,
0_2_62,,0_2_62,,2,62,210000,
0_2_63,,0_2_63,,2,63,220000,
0_2_64,,0_2_64,,2,64,230000,
0_2_65,,0_2_65,,2,65,240000,
0_2_66,,0_2_66,,2,66,255000,
0_2_67,,0_2_67,,2,67,265000,
0_2_68,,0_2_68,,2,68,280000,
0_2_69,,0_2_69,,2,69,290000,
0_2_70,,0_2_70,,2,70,305000,
0_2_71,,0_2_71,,2,71,320000,
0_2_72,,0_2_72,,2,72,335000,
0_2_73,,0_2_73,,2,73,350000,
0_2_74,,0_2_74,,2,74,365000,
0_2_75,,0_2_75,,2,75,385000,
0_2_76,,0_2_76,,2,76,400000,
0_2_77,,0_2_77,,2,77,420000,
0_2_78,,0_2_78,,2,78,440000,
0_2_79,,0_2_79,,2,79,460000,
0_2_80,,0_2_80,,2,80,480000,
0_2_81,,0_2_81,,2,81,500000,
0_2_82,,0_2_82,,2,82,525000,
0_2_83,,0_2_83,,2,83,545000,
0_2_84,,0_2_84,,2,84,570000,
0_2_85,,0_2_85,,2,85,595000,
0_2_86,,0_2_86,,2,86,620000,
0_2_87,,0_2_87,,2,87,650000,
0_2_88,,0_2_88,,2,88,675000,
0_2_89,,0_2_89,,2,89,705000,
0_2_90,,0_2_90,,2,90,735000,
0_3_1,,0_3_1,,3,1,350,
0_3_2,,0_3_2,,3,2,500,
0_3_3,,0_3_3,,3,3,600,
0_3_4,,0_3_4,,3,4,850,
0_3_5,,0_3_5,,3,5,1100,
0_3_6,,0_3_6,,3,6,1250,
0_3_7,,0_3_7,,3,7,1250,
0_3_8,,0_3_8,,3,8,1250,
0_3_9,,0_3_9,,3,9,1250,
0_3_10,,0_3_10,,3,10,1350,
0_3_11,,0_3_11,,3,11,1500,
0_3_12,,0_3_12,,3,12,1650,
0_3_13,,0_3_13,,3,13,1800,
0_3_14,,0_3_14,,3,14,1950,
0_3_15,,0_3_15,,3,15,2000,
0_3_16,,0_3_16,,3,16,2100,
0_3_17,,0_3_17,,3,17,2300,
0_3_18,,0_3_18,,3,18,2750,
0_3_19,,0_3_19,,3,19,3100,
0_3_20,,0_3_20,,3,20,4800,
0_3_21,,0_3_21,,3,21,5350,
0_3_22,,0_3_22,,3,22,5950,
0_3_23,,0_3_23,,3,23,6650,
0_3_24,,0_3_24,,3,24,7400,
0_3_25,,0_3_25,,3,25,7750,
0_3_26,,0_3_26,,3,26,8050,
0_3_27,,0_3_27,,3,27,8400,
0_3_28,,0_3_28,,3,28,8750,
0_3_29,,0_3_29,,3,29,9150,
0_3_30,,0_3_30,,3,30,9500,
0_3_31,,0_3_31,,3,31,11500,
0_3_32,,0_3_32,,3,32,12000,
0_3_33,,0_3_33,,3,33,13000,
0_3_34,,0_3_34,,3,34,13500,
0_3_35,,0_3_35,,3,35,14500,
0_3_36,,0_3_36,,3,36,16000,
0_3_37,,0_3_37,,3,37,17000,
0_3_38,,0_3_38,,3,38,18500,
0_3_39,,0_3_39,,3,39,20500,
0_3_40,,0_3_40,,3,40,22000,
0_3_41,,0_3_41,,3,41,23500,
0_3_42,,0_3_42,,3,42,27000,
0_3_43,,0_3_43,,3,43,33500,
0_3_44,,0_3_44,,3,44,41000,
0_3_45,,0_3_45,,3,45,48500,
0_3_46,,0_3_46,,3,46,57000,
0_3_47,,0_3_47,,3,47,66000,
0_3_48,,0_3_48,,3,48,76000,
0_3_49,,0_3_49,,3,49,86500,
0_3_50,,0_3_50,,3,50,74500,
0_3_51,,0_3_51,,3,51,83500,
0_3_52,,0_3_52,,3,52,93000,
0_3_53,,0_3_53,,3,53,103000,
0_3_54,,0_3_54,,3,54,114000,
0_3_55,,0_3_55,,3,55,125500,
0_3_56,,0_3_56,,3,56,137500,
0_3_57,,0_3_57,,3,57,150000,
0_3_58,,0_3_58,,3,58,160000,
0_3_59,,0_3_59,,3,59,175000,
0_3_60,,0_3_60,,3,60,190000,
0_3_61,,0_3_61,,3,61,200000,
0_3_62,,0_3_62,,3,62,210000,
0_3_63,,0_3_63,,3,63,220000,
0_3_64,,0_3_64,,3,64,230000,
0_3_65,,0_3_65,,3,65,240000,
0_3_66,,0_3_66,,3,66,255000,
0_3_67,,0_3_67,,3,67,265000,
0_3_68,,0_3_68,,3,68,280000,
0_3_69,,0_3_69,,3,69,290000,
0_3_70,,0_3_70,,3,70,305000,
0_3_71,,0_3_71,,3,71,320000,
0_3_72,,0_3_72,,3,72,335000,
0_3_73,,0_3_73,,3,73,350000,
0_3_74,,0_3_74,,3,74,365000,
0_3_75,,0_3_75,,3,75,385000,
0_3_76,,0_3_76,,3,76,400000,
0_3_77,,0_3_77,,3,77,420000,
0_3_78,,0_3_78,,3,78,440000,
0_3_79,,0_3_79,,3,79,460000,
0_3_80,,0_3_80,,3,80,480000,
0_3_81,,0_3_81,,3,81,500000,
0_3_82,,0_3_82,,3,82,525000,
0_3_83,,0_3_83,,3,83,545000,
0_3_84,,0_3_84,,3,84,570000,
0_3_85,,0_3_85,,3,85,595000,
0_3_86,,0_3_86,,3,86,620000,
0_3_87,,0_3_87,,3,87,650000,
0_3_88,,0_3_88,,3,88,675000,
0_3_89,,0_3_89,,3,89,705000,
0_3_90,,0_3_90,,3,90,735000,
0_4_1,,0_4_1,,4,1,350,
0_4_2,,0_4_2,,4,2,500,
0_4_3,,0_4_3,,4,3,600,
0_4_4,,0_4_4,,4,4,850,
0_4_5,,0_4_5,,4,5,1100,
0_4_6,,0_4_6,,4,6,1250,
0_4_7,,0_4_7,,4,7,1250,
0_4_8,,0_4_8,,4,8,1250,
0_4_9,,0_4_9,,4,9,1250,
0_4_10,,0_4_10,,4,10,1350,
0_4_11,,0_4_11,,4,11,1500,
0_4_12,,0_4_12,,4,12,1650,
0_4_13,,0_4_13,,4,13,1800,
0_4_14,,0_4_14,,4,14,1950,
0_4_15,,0_4_15,,4,15,2000,
0_4_16,,0_4_16,,4,16,2100,
0_4_17,,0_4_17,,4,17,2300,
0_4_18,,0_4_18,,4,18,2750,
0_4_19,,0_4_19,,4,19,3100,
0_4_20,,0_4_20,,4,20,4800,
0_4_21,,0_4_21,,4,21,5350,
0_4_22,,0_4_22,,4,22,5950,
0_4_23,,0_4_23,,4,23,6650,
0_4_24,,0_4_24,,4,24,7400,
0_4_25,,0_4_25,,4,25,7750,
0_4_26,,0_4_26,,4,26,8050,
0_4_27,,0_4_27,,4,27,8400,
0_4_28,,0_4_28,,4,28,8750,
0_4_29,,0_4_29,,4,29,9150,
0_4_30,,0_4_30,,4,30,9500,
0_4_31,,0_4_31,,4,31,11500,
0_4_32,,0_4_32,,4,32,12000,
0_4_33,,0_4_33,,4,33,13000,
0_4_34,,0_4_34,,4,34,13500,
0_4_35,,0_4_35,,4,35,14500,
0_4_36,,0_4_36,,4,36,16000,
0_4_37,,0_4_37,,4,37,17000,
0_4_38,,0_4_38,,4,38,18500,
0_4_39,,0_4_39,,4,39,20500,
0_4_40,,0_4_40,,4,40,22000,
0_4_41,,0_4_41,,4,41,23500,
0_4_42,,0_4_42,,4,42,27000,
0_4_43,,0_4_43,,4,43,33500,
0_4_44,,0_4_44,,4,44,41000,
0_4_45,,0_4_45,,4,45,48500,
0_4_46,,0_4_46,,4,46,57000,
0_4_47,,0_4_47,,4,47,66000,
0_4_48,,0_4_48,,4,48,76000,
0_4_49,,0_4_49,,4,49,86500,
0_4_50,,0_4_50,,4,50,74500,
0_4_51,,0_4_51,,4,51,83500,
0_4_52,,0_4_52,,4,52,93000,
0_4_53,,0_4_53,,4,53,103000,
0_4_54,,0_4_54,,4,54,114000,
0_4_55,,0_4_55,,4,55,125500,
0_4_56,,0_4_56,,4,56,137500,
0_4_57,,0_4_57,,4,57,150000,
0_4_58,,0_4_58,,4,58,160000,
0_4_59,,0_4_59,,4,59,175000,
0_4_60,,0_4_60,,4,60,190000,
0_4_61,,0_4_61,,4,61,200000,
0_4_62,,0_4_62,,4,62,210000,
0_4_63,,0_4_63,,4,63,220000,
0_4_64,,0_4_64,,4,64,230000,
0_4_65,,0_4_65,,4,65,240000,
0_4_66,,0_4_66,,4,66,255000,
0_4_67,,0_4_67,,4,67,265000,
0_4_68,,0_4_68,,4,68,280000,
0_4_69,,0_4_69,,4,69,290000,
0_4_70,,0_4_70,,4,70,305000,
0_4_71,,0_4_71,,4,71,320000,
0_4_72,,0_4_72,,4,72,335000,
0_4_73,,0_4_73,,4,73,350000,
0_4_74,,0_4_74,,4,74,365000,
0_4_75,,0_4_75,,4,75,385000,
0_4_76,,0_4_76,,4,76,400000,
0_4_77,,0_4_77,,4,77,420000,
0_4_78,,0_4_78,,4,78,440000,
0_4_79,,0_4_79,,4,79,460000,
0_4_80,,0_4_80,,4,80,480000,
0_4_81,,0_4_81,,4,81,500000,
0_4_82,,0_4_82,,4,82,525000,
0_4_83,,0_4_83,,4,83,545000,
0_4_84,,0_4_84,,4,84,570000,
0_4_85,,0_4_85,,4,85,595000,
0_4_86,,0_4_86,,4,86,620000,
0_4_87,,0_4_87,,4,87,650000,
0_4_88,,0_4_88,,4,88,675000,
0_4_89,,0_4_89,,4,89,705000,
0_4_90,,0_4_90,,4,90,735000,
0_5_1,,0_5_1,,5,1,350,
0_5_2,,0_5_2,,5,2,500,
0_5_3,,0_5_3,,5,3,600,
0_5_4,,0_5_4,,5,4,850,
0_5_5,,0_5_5,,5,5,1100,
0_5_6,,0_5_6,,5,6,1250,
0_5_7,,0_5_7,,5,7,1250,
0_5_8,,0_5_8,,5,8,1250,
0_5_9,,0_5_9,,5,9,1250,
0_5_10,,0_5_10,,5,10,1350,
0_5_11,,0_5_11,,5,11,1500,
0_5_12,,0_5_12,,5,12,1650,
0_5_13,,0_5_13,,5,13,1800,
0_5_14,,0_5_14,,5,14,1950,
0_5_15,,0_5_15,,5,15,2000,
0_5_16,,0_5_16,,5,16,2100,
0_5_17,,0_5_17,,5,17,2300,
0_5_18,,0_5_18,,5,18,2750,
0_5_19,,0_5_19,,5,19,3100,
0_5_20,,0_5_20,,5,20,4800,
0_5_21,,0_5_21,,5,21,5350,
0_5_22,,0_5_22,,5,22,5950,
0_5_23,,0_5_23,,5,23,6650,
0_5_24,,0_5_24,,5,24,7400,
0_5_25,,0_5_25,,5,25,7750,
0_5_26,,0_5_26,,5,26,8050,
0_5_27,,0_5_27,,5,27,8400,
0_5_28,,0_5_28,,5,28,8750,
0_5_29,,0_5_29,,5,29,9150,
0_5_30,,0_5_30,,5,30,9500,
0_5_31,,0_5_31,,5,31,11500,
0_5_32,,0_5_32,,5,32,12000,
0_5_33,,0_5_33,,5,33,13000,
0_5_34,,0_5_34,,5,34,13500,
0_5_35,,0_5_35,,5,35,14500,
0_5_36,,0_5_36,,5,36,16000,
0_5_37,,0_5_37,,5,37,17000,
0_5_38,,0_5_38,,5,38,18500,
0_5_39,,0_5_39,,5,39,20500,
0_5_40,,0_5_40,,5,40,22000,
0_5_41,,0_5_41,,5,41,23500,
0_5_42,,0_5_42,,5,42,27000,
0_5_43,,0_5_43,,5,43,33500,
0_5_44,,0_5_44,,5,44,41000,
0_5_45,,0_5_45,,5,45,48500,
0_5_46,,0_5_46,,5,46,57000,
0_5_47,,0_5_47,,5,47,66000,
0_5_48,,0_5_48,,5,48,76000,
0_5_49,,0_5_49,,5,49,86500,
0_5_50,,0_5_50,,5,50,74500,
0_5_51,,0_5_51,,5,51,83500,
0_5_52,,0_5_52,,5,52,93000,
0_5_53,,0_5_53,,5,53,103000,
0_5_54,,0_5_54,,5,54,114000,
0_5_55,,0_5_55,,5,55,125500,
0_5_56,,0_5_56,,5,56,137500,
0_5_57,,0_5_57,,5,57,150000,
0_5_58,,0_5_58,,5,58,160000,
0_5_59,,0_5_59,,5,59,175000,
0_5_60,,0_5_60,,5,60,190000,
0_5_61,,0_5_61,,5,61,200000,
0_5_62,,0_5_62,,5,62,210000,
0_5_63,,0_5_63,,5,63,220000,
0_5_64,,0_5_64,,5,64,230000,
0_5_65,,0_5_65,,5,65,240000,
0_5_66,,0_5_66,,5,66,255000,
0_5_67,,0_5_67,,5,67,265000,
0_5_68,,0_5_68,,5,68,280000,
0_5_69,,0_5_69,,5,69,290000,
0_5_70,,0_5_70,,5,70,305000,
0_5_71,,0_5_71,,5,71,320000,
0_5_72,,0_5_72,,5,72,335000,
0_5_73,,0_5_73,,5,73,350000,
0_5_74,,0_5_74,,5,74,365000,
0_5_75,,0_5_75,,5,75,385000,
0_5_76,,0_5_76,,5,76,400000,
0_5_77,,0_5_77,,5,77,420000,
0_5_78,,0_5_78,,5,78,440000,
0_5_79,,0_5_79,,5,79,460000,
0_5_80,,0_5_80,,5,80,480000,
0_5_81,,0_5_81,,5,81,500000,
0_5_82,,0_5_82,,5,82,525000,
0_5_83,,0_5_83,,5,83,545000,
0_5_84,,0_5_84,,5,84,570000,
0_5_85,,0_5_85,,5,85,595000,
0_5_86,,0_5_86,,5,86,620000,
0_5_87,,0_5_87,,5,87,650000,
0_5_88,,0_5_88,,5,88,675000,
0_5_89,,0_5_89,,5,89,705000,
0_5_90,,0_5_90,,5,90,735000,
1_0_1,,1_0_1,1,,1,350,10
1_0_2,,1_0_2,1,,2,500,50
1_0_3,,1_0_3,1,,3,600,100
1_0_4,,1_0_4,1,,4,850,150
1_0_5,,1_0_5,1,,5,1100,200
1_0_6,,1_0_6,1,,6,1250,250
1_0_7,,1_0_7,1,,7,1250,300
1_0_8,,1_0_8,1,,8,1250,350
1_0_9,,1_0_9,1,,9,1250,400
1_0_10,,1_0_10,1,,10,1350,450
1_0_11,,1_0_11,1,,11,1500,500
1_0_12,,1_0_12,1,,12,1650,550
1_0_13,,1_0_13,1,,13,1800,600
1_0_14,,1_0_14,1,,14,1950,650
1_0_15,,1_0_15,1,,15,2000,700
1_0_16,,1_0_16,1,,16,2100,750
1_0_17,,1_0_17,1,,17,2300,800
1_0_18,,1_0_18,1,,18,2750,850
1_0_19,,1_0_19,1,,19,3100,900
1_0_20,,1_0_20,1,,20,4800,950
1_0_21,,1_0_21,1,,21,5350,1000
1_0_22,,1_0_22,1,,22,5950,1050
1_0_23,,1_0_23,1,,23,6650,1100
1_0_24,,1_0_24,1,,24,7400,1150
1_0_25,,1_0_25,1,,25,7750,1200
1_0_26,,1_0_26,1,,26,8050,1250
1_0_27,,1_0_27,1,,27,8400,1300
1_0_28,,1_0_28,1,,28,8750,1350
1_0_29,,1_0_29,1,,29,9150,1400
1_0_30,,1_0_30,1,,30,9500,1450
1_0_31,,1_0_31,1,,31,11500,1500
1_0_32,,1_0_32,1,,32,12000,1550
1_0_33,,1_0_33,1,,33,13000,1600
1_0_34,,1_0_34,1,,34,13500,1650
1_0_35,,1_0_35,1,,35,14500,1700
1_0_36,,1_0_36,1,,36,16000,1750
1_0_37,,1_0_37,1,,37,17000,1800
1_0_38,,1_0_38,1,,38,18500,1850
1_0_39,,1_0_39,1,,39,20500,1900
1_0_40,,1_0_40,1,,40,22000,1950
1_0_41,,1_0_41,1,,41,23500,2000
1_0_42,,1_0_42,1,,42,27000,2100
1_0_43,,1_0_43,1,,43,33500,2200
1_0_44,,1_0_44,1,,44,41000,2300
1_0_45,,1_0_45,1,,45,48500,2400
1_0_46,,1_0_46,1,,46,57000,2500
1_0_47,,1_0_47,1,,47,66000,2600
1_0_48,,1_0_48,1,,48,76000,2700
1_0_49,,1_0_49,1,,49,86500,2800
1_0_50,,1_0_50,1,,50,74500,2900
1_0_51,,1_0_51,1,,51,83500,3000
1_0_52,,1_0_52,1,,52,93000,3100
1_0_53,,1_0_53,1,,53,103000,3200
1_0_54,,1_0_54,1,,54,114000,3300
1_0_55,,1_0_55,1,,55,125500,3400
1_0_56,,1_0_56,1,,56,137500,3500
1_0_57,,1_0_57,1,,57,150000,3600
1_0_58,,1_0_58,1,,58,160000,3700
1_0_59,,1_0_59,1,,59,175000,3800
1_0_60,,1_0_60,1,,60,190000,3900
1_0_61,,1_0_61,1,,61,200000,4000
1_0_62,,1_0_62,1,,62,210000,4100
1_0_63,,1_0_63,1,,63,220000,4200
1_0_64,,1_0_64,1,,64,230000,4300
1_0_65,,1_0_65,1,,65,240000,4400
1_0_66,,1_0_66,1,,66,255000,4500
1_0_67,,1_0_67,1,,67,265000,4600
1_0_68,,1_0_68,1,,68,280000,4700
1_0_69,,1_0_69,1,,69,290000,4800
1_0_70,,1_0_70,1,,70,305000,4900
1_0_71,,1_0_71,1,,71,320000,5000
1_0_72,,1_0_72,1,,72,335000,5100
1_0_73,,1_0_73,1,,73,350000,5200
1_0_74,,1_0_74,1,,74,365000,5300
1_0_75,,1_0_75,1,,75,385000,5400
1_0_76,,1_0_76,1,,76,400000,5500
1_0_77,,1_0_77,1,,77,420000,5600
1_0_78,,1_0_78,1,,78,440000,5700
1_0_79,,1_0_79,1,,79,460000,5800
1_0_80,,1_0_80,1,,80,480000,5900
1_0_81,,1_0_81,1,,81,500000,6000
1_0_82,,1_0_82,1,,82,525000,6100
1_0_83,,1_0_83,1,,83,545000,6200
1_0_84,,1_0_84,1,,84,570000,6300
1_0_85,,1_0_85,1,,85,595000,6400
1_0_86,,1_0_86,1,,86,620000,6500
1_0_87,,1_0_87,1,,87,650000,6600
1_0_88,,1_0_88,1,,88,675000,6700
1_0_89,,1_0_89,1,,89,705000,6800
1_0_90,,1_0_90,1,,90,735000,6900
1_1_1,,1_1_1,1,1,1,350,10
1_1_2,,1_1_2,1,1,2,500,50
