key,Remarks,itemId,weight,leastNum,maxNum,formatId
101,,707129,,1,2,43002
102,,707117,,1,2,43002
103,,707105,,1,3,43002
104,,707042,,1,3,43002
105,,707030,,1,3,43002
106,,707018,,1,3,43002
107,,702006,,1,3,43002
108,,704001,,1,2,43002
109,,704017,,1,1,43002
110,,704019,,1,1,43002
111,,704016,,1,1,43002
112,,704009,,1,1,43002
113,,704001,,1,2,43002
114,,704010,,1,1,43002
115,,704030,,1,2,43002
116,,704018,,1,1,43002
117,,704033,,1,2,43002
118,,704026,,1,1,43002
119,,704011,,1,2,43002
120,,704027,,1,1,43002
121,,704024,,1,2,43002
122,,704035,,1,1,43002
123,,702191,,1,2,43003
124,,702159,,1,2,43003
125,,707139,,1,2,43003
126,,707127,,1,2,43003
127,,707115,,1,2,43003
128,,702103,,1,2,43003
129,,707096,,1,2,43003
130,,707092,,1,2,43003
131,,707040,,1,2,43003
132,,707028,,1,2,43003
133,,707016,,1,3,43003
134,,702004,,1,3,43003
135,,702192,,1,3,43003
136,,702183,,1,3,43003
137,,702176,,1,3,43003
138,,702169,,1,3,43003
139,,702140,,1,3,43003
140,,707128,,1,3,43003
141,,707116,,1,3,43003
142,,707104,,1,3,43003
143,,702065,,1,3,43003
144,,702041,,1,3,43003
145,,707029,,1,3,43003
146,,707017,,1,3,43003
147,,707005,,1,3,43003
148,,702184,,1,2,43003
149,,702141,,1,2,43003
150,,707129,,1,2,43003
151,,707117,,1,2,43003
152,,707105,,1,2,43003
153,,707042,,1,3,43003
154,,707030,,1,3,43003
155,,707018,,1,3,43003
156,,702006,,1,3,43003
157,,702193,,1,3,43003
158,,702177,,1,2,43003
159,,702170,,1,2,43003
160,,707142,,1,2,43003
161,,707130,,1,2,43003
162,,707118,,1,2,43003
163,,702106,,1,3,43003
164,,707097,,1,3,43003
165,,707093,,1,3,43003
166,,702067,,1,3,43003
167,,707055,,1,3,43003
168,,702049,,1,2,43003
169,,707043,,1,2,43003
170,,702031,,1,2,43003
171,,707019,,1,2,43003
172,,707007,,1,2,43003
173,,704001,,1,2,43003
174,,704017,,1,1,43003
175,,704019,,1,1,43003
176,,704016,,1,1,43003
177,,704009,,1,1,43003
178,,704001,,1,2,43003
179,,704010,,1,1,43003
180,,704030,,1,2,43003
181,,704018,,1,1,43003
182,,704033,,1,2,43003
183,,704026,,1,1,43003
184,,704011,,1,2,43003
185,,704027,,1,1,43003
186,,704024,,1,2,43003
187,,704035,,1,1,43003
188,,702192,,1,2,43004
189,,702183,,1,2,43004
190,,702176,,1,2,43004
191,,702169,,1,2,43004
192,,702140,,1,2,43004
193,,707128,,1,2,43004
194,,707116,,1,2,43004
195,,707104,,1,2,43004
196,,702065,,1,2,43004
197,,702041,,1,2,43004
198,,707029,,1,3,43004
199,,707017,,1,3,43004
200,,707005,,1,3,43004
201,,702184,,1,3,43004
202,,702141,,1,3,43004
203,,707129,,1,3,43004
204,,707117,,1,3,43004
205,,707105,,1,3,43004
206,,707042,,1,3,43004
207,,707030,,1,3,43004
208,,707018,,1,3,43004
209,,702006,,1,3,43004
210,,702193,,1,3,43004
211,,702177,,1,3,43004
212,,702170,,1,3,43004
213,,707142,,1,2,43004
214,,707130,,1,2,43004
215,,707118,,1,2,43004
216,,702106,,1,2,43004
217,,707097,,1,2,43004
218,,707093,,1,3,43004
219,,702067,,1,3,43004
220,,707055,,1,3,43004
221,,702049,,1,3,43004
222,,707043,,1,3,43004
223,,702031,,1,2,43004
224,,707019,,1,2,43004
225,,707007,,1,2,43004
226,,702194,,1,2,43004
227,,702185,,1,2,43004
228,,702153,,1,3,43004
229,,707143,,1,3,43004
230,,707131,,1,3,43004
231,,707119,,1,3,43004
232,,707107,,1,3,43004
233,,702056,,1,2,43004
234,,707050,,1,2,43004
235,,707044,,1,2,43004
236,,707032,,1,2,43004
237,,707020,,1,2,43004
238,,707008,,1,3,43004
239,,704001,,1,2,43004
240,,704017,,1,1,43004
241,,704019,,1,1,43004
242,,704016,,1,1,43004
243,,704009,,1,1,43004
244,,704001,,1,2,43004
245,,704010,,1,1,43004
246,,704030,,1,2,43004
247,,704018,,1,1,43004
248,,704033,,1,2,43004
249,,704026,,1,1,43004
250,,704011,,1,2,43004
251,,704027,,1,1,43004
252,,704024,,1,2,43004
253,,704035,,1,1,43004
254,,702184,,1,2,43005
255,,702141,,1,2,43005
256,,707129,,1,2,43005
257,,707117,,1,2,43005
258,,707105,,1,2,43005
259,,707042,,1,2,43005
260,,707030,,1,2,43005
261,,707018,,1,2,43005
262,,702006,,1,2,43005
263,,702193,,1,2,43005
264,,702177,,1,3,43005
265,,702170,,1,3,43005
266,,707142,,1,3,43005
267,,707130,,1,3,43005
268,,707118,,1,3,43005
269,,702106,,1,3,43005
270,,707097,,1,3,43005
271,,707093,,1,3,43005
272,,702067,,1,3,43005
273,,707055,,1,3,43005
274,,702049,,1,3,43005
275,,707043,,1,3,43005
276,,702031,,1,3,43005
277,,707019,,1,3,43005
278,,707007,,1,3,43005
279,,702194,,1,2,43005
280,,702185,,1,2,43005
281,,702153,,1,2,43005
282,,707143,,1,2,43005
283,,707131,,1,2,43005
284,,707119,,1,3,43005
285,,707107,,1,3,43005
286,,702056,,1,3,43005
287,,707050,,1,3,43005
288,,707044,,1,3,43005
289,,707032,,1,2,43005
290,,707020,,1,2,43005
291,,707008,,1,2,43005
292,,702186,,1,2,43005
293,,702178,,1,2,43005
294,,707144,,1,3,43005
295,,707132,,1,3,43005
296,,707120,,1,3,43005
297,,707108,,1,3,43005
298,,707098,,1,3,43005
299,,707094,,1,2,43005
300,,702087,,1,2,43005
301,,707057,,1,2,43005
302,,707051,,1,2,43005
303,,707045,,1,2,43005
304,,707033,,1,3,43005
305,,707021,,1,3,43005
306,,707009,,1,3,43005
307,,704001,,1,2,43005
308,,704017,,1,1,43005
309,,704019,,1,1,43005
310,,704016,,1,1,43005
311,,704009,,1,1,43005
312,,704001,,1,2,43005
313,,704010,,1,1,43005
314,,704030,,1,2,43005
315,,704018,,1,1,43005
316,,704033,,1,2,43005
317,,704026,,1,1,43005
318,,704011,,1,2,43005
319,,704027,,1,1,43005
320,,704024,,1,2,43005
321,,704035,,1,1,43005
