key,Remarks,Id,CopyId,Index,time,Enemy_1,Enemy_1_x,Enemy_1_z,Enemy_2,Enemy_2_x,Enemy_2_z,Enemy_3,Enemy_3_x,Enemy_3_z,Enemy_4,Enemy_4_x,Enemy_4_z,Enemy_5,Enemy_5_x,Enemy_5_z,Enemy_6,Enemy_6_x,Enemy_6_z
110604_3,,110604_3,110604,3,90,m_110604_3_1,115,6,m_110604_3_2,119,3,m_110604_3_3,119,6,m_110604_3_4,119,9,,,,,,
110605_1,,110605_1,110605,1,90,m_110605_1_1,35,6,m_110605_1_2,39,3,m_110605_1_3,39,9,,,,,,,,,
110605_2,,110605_2,110605,2,90,m_110605_2_1,75,3,m_110605_2_2,75,9,m_110605_2_3,79,6,,,,,,,,,
110605_3,,110605_3,110605,3,90,m_110605_3_1,115,3,m_110605_3_2,115,9,m_110605_3_3,119,3,m_110605_3_4,119,9,,,,,,
110606_1,,110606_1,110606,1,90,m_110606_1_1,60,6,,,,,,,,,,,,,,,
110607_1,,110607_1,110607,1,90,m_110607_1_1,35,6,m_110607_1_2,39,3,m_110607_1_3,39,9,,,,,,,,,
110607_2,,110607_2,110607,2,90,m_110607_2_1,75,3,m_110607_2_2,75,9,m_110607_2_3,79,6,,,,,,,,,
110607_3,,110607_3,110607,3,90,m_110607_3_1,115,3,m_110607_3_2,115,9,m_110607_3_3,119,3,m_110607_3_4,119,9,,,,,,
110608_1,,110608_1,110608,1,90,m_110608_1_1,35,6,m_110608_1_2,39,3,m_110608_1_3,39,9,,,,,,,,,
110608_2,,110608_2,110608,2,90,m_110608_2_1,75,3,m_110608_2_2,75,9,m_110608_2_3,79,6,,,,,,,,,
110608_3,,110608_3,110608,3,90,m_110608_3_1,115,3,m_110608_3_2,115,9,m_110608_3_3,119,6,m_110608_3_4,123,9,,,,,,
110609_1,,110609_1,110609,1,90,m_110609_1_1,35,6,m_110609_1_2,39,3,m_110609_1_3,39,9,,,,,,,,,
110609_2,,110609_2,110609,2,90,m_110609_2_1,75,3,m_110609_2_2,75,9,m_110609_2_3,79,6,,,,,,,,,
110609_3,,110609_3,110609,3,90,m_110609_3_1,115,3,m_110609_3_2,115,9,m_110609_3_3,119,3,m_110609_3_4,119,9,,,,,,
110610_1,,110610_1,110610,1,90,m_110610_1_1,35,6,m_110610_1_2,39,3,m_110610_1_3,39,9,,,,,,,,,
110610_2,,110610_2,110610,2,90,m_110610_2_1,75,3,m_110610_2_2,75,9,m_110610_2_3,79,6,,,,,,,,,
110610_3,,110610_3,110610,3,90,m_110610_3_1,115,3,m_110610_3_2,115,6,m_110610_3_3,119,3,m_110610_3_4,119,6,,,,,,
110611_1,,110611_1,110611,1,90,m_110611_1_1,35,6,m_110611_1_2,39,3,m_110611_1_3,39,9,,,,,,,,,
110611_2,,110611_2,110611,2,90,m_110611_2_1,75,3,m_110611_2_2,75,9,m_110611_2_3,79,6,,,,,,,,,
110611_3,,110611_3,110611,3,90,m_110611_3_1,115,3,m_110611_3_2,115,9,m_110611_3_3,119,3,m_110611_3_4,119,9,,,,,,
110612_1,,110612_1,110612,1,90,m_110612_1_1,60,6,,,,,,,,,,,,,,,
110701_1,,110701_1,110701,1,90,m_110701_1_1,35,6,m_110701_1_2,39,3,m_110701_1_3,43,3,,,,,,,,,
110701_2,,110701_2,110701,2,90,m_110701_2_1,75,3,m_110701_2_2,75,9,m_110701_2_3,83,3,,,,,,,,,
110701_3,,110701_3,110701,3,90,m_110701_3_1,115,3,m_110701_3_2,115,9,m_110701_3_3,119,3,m_110701_3_4,123,9,,,,,,
110702_1,,110702_1,110702,1,90,m_110702_1_1,35,6,m_110702_1_2,43,3,m_110702_1_3,43,9,,,,,,,,,
110702_2,,110702_2,110702,2,90,m_110702_2_1,75,3,m_110702_2_2,75,9,m_110702_2_3,83,9,,,,,,,,,
110702_3,,110702_3,110702,3,90,m_110702_3_1,115,3,m_110702_3_2,115,9,m_110702_3_3,119,3,m_110702_3_4,123,9,,,,,,
110703_1,,110703_1,110703,1,90,m_110703_1_1,35,6,m_110703_1_2,39,3,m_110703_1_3,39,9,,,,,,,,,
110703_2,,110703_2,110703,2,90,m_110703_2_1,75,3,m_110703_2_2,75,9,m_110703_2_3,79,6,,,,,,,,,
110703_3,,110703_3,110703,3,90,m_110703_3_1,115,3,m_110703_3_2,115,9,m_110703_3_3,119,3,m_110703_3_4,123,9,,,,,,
110704_1,,110704_1,110704,1,90,m_110704_1_1,35,6,m_110704_1_2,39,3,m_110704_1_3,39,9,,,,,,,,,
110704_2,,110704_2,110704,2,90,m_110704_2_1,75,3,m_110704_2_2,75,9,m_110704_2_3,79,6,,,,,,,,,
110704_3,,110704_3,110704,3,90,m_110704_3_1,115,3,m_110704_3_2,115,6,m_110704_3_3,115,9,m_110704_3_4,119,6,,,,,,
110705_1,,110705_1,110705,1,90,m_110705_1_1,35,6,m_110705_1_2,39,3,m_110705_1_3,39,9,,,,,,,,,
110705_2,,110705_2,110705,2,90,m_110705_2_1,75,3,m_110705_2_2,75,9,m_110705_2_3,79,6,,,,,,,,,
110705_3,,110705_3,110705,3,90,m_110705_3_1,115,3,m_110705_3_2,115,9,m_110705_3_3,119,3,m_110705_3_4,119,9,,,,,,
110706_1,,110706_1,110706,1,90,m_110706_1_1,60,6,,,,,,,,,,,,,,,
110707_1,,110707_1,110707,1,90,m_110707_1_1,35,6,m_110707_1_2,39,3,m_110707_1_3,39,9,,,,,,,,,
110707_2,,110707_2,110707,2,90,m_110707_2_1,75,3,m_110707_2_2,75,9,m_110707_2_3,79,6,,,,,,,,,
110707_3,,110707_3,110707,3,90,m_110707_3_1,115,3,m_110707_3_2,115,9,m_110707_3_3,119,3,m_110707_3_4,119,9,,,,,,
110708_1,,110708_1,110708,1,90,m_110708_1_1,35,6,m_110708_1_2,39,3,m_110708_1_3,39,9,,,,,,,,,
110708_2,,110708_2,110708,2,90,m_110708_2_1,75,3,m_110708_2_2,75,9,m_110708_2_3,79,6,,,,,,,,,
110708_3,,110708_3,110708,3,90,m_110708_3_1,115,3,m_110708_3_2,115,9,m_110708_3_3,119,6,m_110708_3_4,123,9,,,,,,
110709_1,,110709_1,110709,1,90,m_110709_1_1,35,6,m_110709_1_2,39,3,m_110709_1_3,39,9,,,,,,,,,
110709_2,,110709_2,110709,2,90,m_110709_2_1,75,3,m_110709_2_2,75,9,m_110709_2_3,79,6,,,,,,,,,
110709_3,,110709_3,110709,3,90,m_110709_3_1,115,3,m_110709_3_2,115,9,m_110709_3_3,119,3,m_110709_3_4,119,9,,,,,,
110710_1,,110710_1,110710,1,90,m_110710_1_1,35,6,m_110710_1_2,39,3,m_110710_1_3,39,9,,,,,,,,,
110710_2,,110710_2,110710,2,90,m_110710_2_1,75,3,m_110710_2_2,75,9,m_110710_2_3,79,6,,,,,,,,,
110710_3,,110710_3,110710,3,90,m_110710_3_1,115,6,m_110710_3_2,115,9,m_110710_3_3,119,6,m_110710_3_4,119,9,,,,,,
110711_1,,110711_1,110711,1,90,m_110711_1_1,35,6,m_110711_1_2,39,3,m_110711_1_3,39,9,,,,,,,,,
110711_2,,110711_2,110711,2,90,m_110711_2_1,75,3,m_110711_2_2,75,9,m_110711_2_3,79,6,,,,,,,,,
110711_3,,110711_3,110711,3,90,m_110711_3_1,115,3,m_110711_3_2,115,9,m_110711_3_3,119,3,m_110711_3_4,119,9,,,,,,
110712_1,,110712_1,110712,1,90,m_110712_1_1,60,6,,,,,,,,,,,,,,,
110801_1,,110801_1,110801,1,90,m_110801_1_1,35,6,m_110801_1_2,39,3,m_110801_1_3,39,9,,,,,,,,,
110801_2,,110801_2,110801,2,90,m_110801_2_1,75,3,m_110801_2_2,75,9,m_110801_2_3,79,6,,,,,,,,,
110801_3,,110801_3,110801,3,90,m_110801_3_1,115,3,m_110801_3_2,115,6,m_110801_3_3,115,9,m_110801_3_4,119,6,,,,,,
110802_1,,110802_1,110802,1,90,m_110802_1_1,35,6,m_110802_1_2,39,3,m_110802_1_3,39,9,,,,,,,,,
110802_2,,110802_2,110802,2,90,m_110802_2_1,75,3,m_110802_2_2,75,9,m_110802_2_3,79,6,,,,,,,,,
110802_3,,110802_3,110802,3,90,m_110802_3_1,115,3,m_110802_3_2,115,9,m_110802_3_3,119,3,m_110802_3_4,119,9,,,,,,
110803_1,,110803_1,110803,1,90,m_110803_1_1,35,6,m_110803_1_2,39,3,m_110803_1_3,39,9,,,,,,,,,
110803_2,,110803_2,110803,2,90,m_110803_2_1,75,3,m_110803_2_2,75,9,m_110803_2_3,79,6,,,,,,,,,
110803_3,,110803_3,110803,3,90,m_110803_3_1,115,3,m_110803_3_2,115,9,m_110803_3_3,119,3,m_110803_3_4,123,9,,,,,,
110804_1,,110804_1,110804,1,90,m_110804_1_1,35,6,m_110804_1_2,39,3,m_110804_1_3,39,9,,,,,,,,,
110804_2,,110804_2,110804,2,90,m_110804_2_1,75,3,m_110804_2_2,75,9,m_110804_2_3,79,6,,,,,,,,,
110804_3,,110804_3,110804,3,90,m_110804_3_1,115,3,m_110804_3_2,115,6,m_110804_3_3,115,9,m_110804_3_4,123,3,,,,,,
110805_1,,110805_1,110805,1,90,m_110805_1_1,35,6,m_110805_1_2,39,3,m_110805_1_3,39,9,,,,,,,,,
110805_2,,110805_2,110805,2,90,m_110805_2_1,75,3,m_110805_2_2,75,9,m_110805_2_3,79,6,,,,,,,,,
110805_3,,110805_3,110805,3,90,m_110805_3_1,115,3,m_110805_3_2,115,9,m_110805_3_3,119,3,m_110805_3_4,119,9,,,,,,
110806_1,,110806_1,110806,1,90,m_110806_1_1,60,6,,,,,,,,,,,,,,,
110807_1,,110807_1,110807,1,90,m_110807_1_1,35,6,m_110807_1_2,39,3,m_110807_1_3,39,9,,,,,,,,,
110807_2,,110807_2,110807,2,90,m_110807_2_1,75,3,m_110807_2_2,75,9,m_110807_2_3,79,6,,,,,,,,,
110807_3,,110807_3,110807,3,90,m_110807_3_1,115,3,m_110807_3_2,115,9,m_110807_3_3,119,3,m_110807_3_4,119,9,,,,,,
110808_1,,110808_1,110808,1,90,m_110808_1_1,35,6,m_110808_1_2,39,3,m_110808_1_3,39,9,,,,,,,,,
110808_2,,110808_2,110808,2,90,m_110808_2_1,75,3,m_110808_2_2,75,9,m_110808_2_3,79,6,,,,,,,,,
110808_3,,110808_3,110808,3,90,m_110808_3_1,115,3,m_110808_3_2,115,9,m_110808_3_3,119,3,m_110808_3_4,119,9,,,,,,
110809_1,,110809_1,110809,1,90,m_110809_1_1,35,6,m_110809_1_2,39,3,m_110809_1_3,39,9,,,,,,,,,
110809_2,,110809_2,110809,2,90,m_110809_2_1,75,3,m_110809_2_2,75,9,m_110809_2_3,79,6,,,,,,,,,
110809_3,,110809_3,110809,3,90,m_110809_3_1,115,3,m_110809_3_2,115,9,m_110809_3_3,119,3,m_110809_3_4,119,9,,,,,,
110810_1,,110810_1,110810,1,90,m_110810_1_1,35,6,m_110810_1_2,43,3,m_110810_1_3,43,9,,,,,,,,,
110810_2,,110810_2,110810,2,90,m_110810_2_1,75,3,m_110810_2_2,75,9,m_110810_2_3,83,6,,,,,,,,,
110810_3,,110810_3,110810,3,90,m_110810_3_1,115,6,m_110810_3_2,115,9,m_110810_3_3,119,6,m_110810_3_4,119,9,,,,,,
110811_1,,110811_1,110811,1,90,m_110811_1_1,35,6,m_110811_1_2,39,3,m_110811_1_3,39,9,,,,,,,,,
110811_2,,110811_2,110811,2,90,m_110811_2_1,75,3,m_110811_2_2,75,9,m_110811_2_3,79,6,,,,,,,,,
110811_3,,110811_3,110811,3,90,m_110811_3_1,115,3,m_110811_3_2,115,9,m_110811_3_3,119,3,m_110811_3_4,119,9,,,,,,
110812_1,,110812_1,110812,1,90,m_110812_1_1,60,6,,,,,,,,,,,,,,,
110901_1,,110901_1,110901,1,90,m_110901_1_1,35,6,m_110901_1_2,39,3,m_110901_1_3,39,9,,,,,,,,,
110901_2,,110901_2,110901,2,90,m_110901_2_1,75,3,m_110901_2_2,75,9,m_110901_2_3,79,6,,,,,,,,,
110901_3,,110901_3,110901,3,90,m_110901_3_1,115,3,m_110901_3_2,115,9,m_110901_3_3,119,3,m_110901_3_4,119,9,,,,,,
110902_1,,110902_1,110902,1,90,m_110902_1_1,35,6,m_110902_1_2,39,3,m_110902_1_3,39,9,,,,,,,,,
110902_2,,110902_2,110902,2,90,m_110902_2_1,75,3,m_110902_2_2,75,9,m_110902_2_3,79,6,,,,,,,,,
110902_3,,110902_3,110902,3,90,m_110902_3_1,115,3,m_110902_3_2,115,9,m_110902_3_3,119,3,m_110902_3_4,123,9,,,,,,
110903_1,,110903_1,110903,1,90,m_110903_1_1,35,6,m_110903_1_2,39,3,m_110903_1_3,39,9,,,,,,,,,
110903_2,,110903_2,110903,2,90,m_110903_2_1,75,3,m_110903_2_2,75,9,m_110903_2_3,79,6,,,,,,,,,
110903_3,,110903_3,110903,3,90,m_110903_3_1,115,3,m_110903_3_2,115,9,m_110903_3_3,119,3,m_110903_3_4,123,9,,,,,,
110904_1,,110904_1,110904,1,90,m_110904_1_1,35,6,m_110904_1_2,39,3,m_110904_1_3,39,9,,,,,,,,,
110904_2,,110904_2,110904,2,90,m_110904_2_1,75,3,m_110904_2_2,75,9,m_110904_2_3,79,6,,,,,,,,,
110904_3,,110904_3,110904,3,90,m_110904_3_1,115,3,m_110904_3_2,115,6,m_110904_3_3,115,9,m_110904_3_4,123,3,,,,,,
110905_1,,110905_1,110905,1,90,m_110905_1_1,35,6,m_110905_1_2,39,3,m_110905_1_3,39,9,,,,,,,,,
110905_2,,110905_2,110905,2,90,m_110905_2_1,75,3,m_110905_2_2,75,9,m_110905_2_3,79,6,,,,,,,,,
110905_3,,110905_3,110905,3,90,m_110905_3_1,115,3,m_110905_3_2,115,9,m_110905_3_3,119,3,m_110905_3_4,119,9,,,,,,
110906_1,,110906_1,110906,1,90,m_110906_1_1,60,6,,,,,,,,,,,,,,,
110907_1,,110907_1,110907,1,90,m_110907_1_1,35,6,m_110907_1_2,39,3,m_110907_1_3,39,9,,,,,,,,,
